# polypus-physics depth-dose experiment — numerical results
# beam: monoenergetic 100 keV point source, SSD=10cm, 10x10cm field at the surface
# medium: H2O (rho = 1000.0 kg/m^3)
# beam_energy_mev: 0.100000
# n_primaries: 400000
# seed: 456
# geometry_box_min_cm: [-20.000, -20.000, 0.000]
# geometry_box_max_cm: [20.000, 20.000, 20.000]
# voxel_size_cm: 0.500
# dims_nx_ny_nz: [80, 80, 40]
# mu_per_m: 17.0627
# total_deposit_in_grid_mev: 21988.460491
# overflow_mev: 0.000000
# note: dose_gy is absolute for n_primaries; dose_gy_per_primary = dose_gy / n_primaries
# note: local deposition is valid at 100 keV (e- range < 0.2 mm << 1 cm voxel)
z_min_cm,z_max_cm,z_center_cm,deposit_mev,rel_pdd
0.000,0.500,0.250,1.450478e1,1.000000
0.500,1.000,0.750,1.346921e1,0.928605
1.000,1.500,1.250,1.264490e1,0.871775
1.500,2.000,1.750,1.194816e1,0.823740
2.000,2.500,2.250,1.029425e1,0.709714
2.500,3.000,2.750,9.771478e0,0.673673
3.000,3.500,3.250,9.099366e0,0.627336
3.500,4.000,3.750,8.200704e0,0.565380
4.000,4.500,4.250,6.649963e0,0.458467
4.500,5.000,4.750,6.436758e0,0.443768
5.000,5.500,5.250,6.206406e0,0.427887
5.500,6.000,5.750,5.007811e0,0.345253
6.000,6.500,6.250,4.941381e0,0.340673
6.500,7.000,6.750,5.071897e0,0.349671
7.000,7.500,7.250,4.486387e0,0.309304
7.500,8.000,7.750,3.829700e0,0.264030
8.000,8.500,8.250,3.390889e0,0.233777
8.500,9.000,8.750,2.990739e0,0.206190
9.000,9.500,9.250,3.182595e0,0.219417
9.500,10.000,9.750,3.653869e0,0.251908
10.000,10.500,10.250,2.318819e0,0.159866
10.500,11.000,10.750,2.281224e0,0.157274
11.000,11.500,11.250,2.103543e0,0.145024
11.500,12.000,11.750,2.057217e0,0.141830
12.000,12.500,12.250,2.264026e0,0.156088
12.500,13.000,12.750,1.713140e0,0.118109
13.000,13.500,13.250,1.729609e0,0.119244
13.500,14.000,13.750,1.230919e0,0.084863
14.000,14.500,14.250,1.459031e0,0.100590
14.500,15.000,14.750,1.128046e0,0.077771
15.000,15.500,15.250,1.040135e0,0.071710
15.500,16.000,15.750,1.052702e0,0.072576
16.000,16.500,16.250,1.208958e0,0.083349
16.500,17.000,16.750,7.293922e-1,0.050286
17.000,17.500,17.250,7.241877e-1,0.049928
17.500,18.000,17.750,8.371110e-1,0.057713
18.000,18.500,18.250,7.901107e-1,0.054472
18.500,19.000,18.750,6.857727e-1,0.047279
19.000,19.500,19.250,5.056074e-1,0.034858
19.500,20.000,19.750,4.179240e-1,0.028813
