# polypus-physics depth-dose experiment — numerical results
# beam: polyenergetic 100 kVp Kramers spectrum point source, SSD=10cm, 10x10cm field, 15 keV filter cutoff
# medium: H2O (rho = 1000.0 kg/m^3)
# n_primaries: 400000
# seed: 42
# geometry_box_min_cm: [-20.000, -20.000, 0.000]
# geometry_box_max_cm: [20.000, 20.000, 20.000]
# voxel_size_cm: 0.500
# dims_nx_ny_nz: [80, 80, 40]
# total_deposit_in_grid_mev: 10712.263611
# overflow_mev: 0.000000
# note: dose_gy is absolute for n_primaries; dose_gy_per_primary = dose_gy / n_primaries
# note: local deposition is valid at 100 keV (e- range < 0.2 mm << 1 cm voxel)
z_min_cm,z_max_cm,z_center_cm,deposit_mev,rel_pdd
0.000,0.500,0.250,8.766109e1,1.000000
0.500,1.000,0.750,5.994151e1,0.683787
1.000,1.500,1.250,4.452470e1,0.507919
1.500,2.000,1.750,3.331622e1,0.380057
2.000,2.500,2.250,2.544137e1,0.290224
2.500,3.000,2.750,2.102269e1,0.239818
3.000,3.500,3.250,1.636261e1,0.186658
3.500,4.000,3.750,1.473690e1,0.168112
4.000,4.500,4.250,1.178281e1,0.134413
4.500,5.000,4.750,1.011958e1,0.115440
5.000,5.500,5.250,7.937671e0,0.090550
5.500,6.000,5.750,6.661445e0,0.075991
6.000,6.500,6.250,6.166552e0,0.070345
6.500,7.000,6.750,5.174860e0,0.059033
7.000,7.500,7.250,5.097787e0,0.058153
7.500,8.000,7.750,4.033705e0,0.046015
8.000,8.500,8.250,3.504782e0,0.039981
8.500,9.000,8.750,3.038717e0,0.034664
9.000,9.500,9.250,2.752651e0,0.031401
9.500,10.000,9.750,2.684356e0,0.030622
10.000,10.500,10.250,2.054496e0,0.023437
10.500,11.000,10.750,1.495324e0,0.017058
11.000,11.500,11.250,1.640148e0,0.018710
11.500,12.000,11.750,1.388203e0,0.015836
12.000,12.500,12.250,1.265931e0,0.014441
12.500,13.000,12.750,1.336697e0,0.015248
13.000,13.500,13.250,1.153474e0,0.013158
13.500,14.000,13.750,9.309345e-1,0.010620
14.000,14.500,14.250,7.406842e-1,0.008449
14.500,15.000,14.750,7.284561e-1,0.008310
15.000,15.500,15.250,6.800234e-1,0.007757
15.500,16.000,15.750,3.843472e-1,0.004384
16.000,16.500,16.250,2.814602e-1,0.003211
16.500,17.000,16.750,5.722417e-1,0.006528
17.000,17.500,17.250,4.930163e-1,0.005624
17.500,18.000,17.750,2.906394e-1,0.003315
18.000,18.500,18.250,5.231240e-1,0.005968
18.500,19.000,18.750,1.926550e-1,0.002198
19.000,19.500,19.250,1.843381e-1,0.002103
19.500,20.000,19.750,1.258565e-1,0.001436
