Compound,H2O
MolarMass,18.015
""
Energy_eV,Energy_MeV,mu_m_cm2_g
1.0,1e-6,9.955362517059166e-7
1.00507955797765,1.0050795579776499e-6,1.037519034546491e-6
1.010184917864548,1.0101849178645478e-6,1.0813814343274034e-6
1.0153162107229883,1.0153162107229881e-6,1.12721286051885e-6
1.0204735682810036,1.0204735682810034e-6,1.1751072140699792e-6
1.025657122935746,1.025657122935746e-6,1.2251631232186542e-6
1.0308670077568878,1.0308670077568877e-6,1.2774841920931765e-6
1.0361033564900353,1.0361033564900353e-6,1.3321792628157932e-6
1.041366303560164,1.0413663035601638e-6,1.3893626918578585e-6
1.0466559840750687,1.0466559840750686e-6,1.4491546414387175e-6
1.0519725338288322,1.0519725338288322e-6,1.5116813868050594e-6
1.0573160893053108,1.0573160893053107e-6,1.5770756402747413e-6
1.062686787681639,1.062686787681639e-6,1.6329726299113308e-6
1.0680847668317504,1.0680847668317504e-6,1.683666978274187e-6
1.0735101653299168,1.0735101653299167e-6,1.7359785962861928e-6
1.0789631224543066,1.0789631224543066e-6,1.7899605160642916e-6
1.0844437781905594,1.0844437781905593e-6,1.8456675549238936e-6
1.08995227323538,1.0899522732353798e-6,1.9031563769189109e-6
1.0954887490001504,1.0954887490001502e-6,1.962485556547267e-6
1.1010533476145596,1.1010533476145597e-6,2.023715644699384e-6
1.1066462119302531,1.106646211930253e-6,2.0856583814340895e-6
1.1122674855244994,1.1122674855244993e-6,2.1400467558286224e-6
1.117917312703876,1.117917312703876e-6,2.195878463142103e-6
1.1235958385079738,1.1235958385079738e-6,2.2531924876241204e-6
1.1293032087131212,1.1293032087131212e-6,2.3120288847319434e-6
1.1350395698361253,1.1350395698361253e-6,2.3724288110449643e-6
1.1408050691380347,1.1408050691380346e-6,2.434434555026988e-6
1.1465998546279181,1.146599854627918e-6,2.491483602957406e-6
1.1524240750666654,1.1524240750666655e-6,2.5473793332892718e-6
1.1582778799708062,1.1582778799708062e-6,2.6045440591265375e-6
1.1641614196163472,1.1641614196163473e-6,2.663006938075775e-6
1.1700748450426315,1.1700748450426315e-6,2.722797805665959e-6
1.1760183080562152,1.1760183080562152e-6,2.78394719129086e-6
1.1819919612347645,1.1819919612347643e-6,2.846486334530393e-6
1.1879959579309725,1.1879959579309724e-6,2.910447201860033e-6
1.1940304522764964,1.1940304522764964e-6,2.975862503757559e-6
1.2000955991859144,1.2000955991859144e-6,3.0414030359679074e-6
1.2061915543607016,1.2061915543607016e-6,3.1001230021227067e-6
1.2123184742932283,1.212318474293228e-6,3.1599856818476838e-6
1.2184765162707767,1.2184765162707765e-6,3.221013491282523e-6
1.224665838379579,1.224665838379579e-6,3.2832292898009747e-6
1.2308865995088751,1.230886599508875e-6,3.3466563888432326e-6
1.2371389593549926,1.2371389593549925e-6,3.411318560925653e-6
1.2434230784254459,1.243423078425446e-6,3.477240048831355e-6
1.2497391180430557,1.2497391180430556e-6,3.5444455749854003e-6
1.2560872403500922,1.256087240350092e-6,3.612960351018294e-6
1.2624676083124367,1.2624676083124366e-6,3.677843652064359e-6
1.2688803857237647,1.2688803857237646e-6,3.739907662758421e-6
1.275325737209751,1.275325737209751e-6,3.803024700535244e-6
1.2818038282322972,1.2818038282322972e-6,3.867212729795913e-6
1.2883148250937766,1.2883148250937766e-6,3.932490023085701e-6
1.2948588949413062,1.294858894941306e-6,3.998875166408267e-6
1.301436205771036,1.301436205771036e-6,4.0663870646318665e-6
1.3080469264324628,1.3080469264324628e-6,4.135044946989384e-6
1.314691226632763,1.314691226632763e-6,4.204868372673673e-6
1.3213692769411518,1.3213692769411518e-6,4.275877236529949e-6
1.3280812487932596,1.3280812487932595e-6,4.348091774846918e-6
1.3348273144955345,1.3348273144955345e-6,4.420039536466237e-6
1.3416076472296652,1.341607647229665e-6,4.4869607101335055e-6
1.3484224210570266,1.3484224210570265e-6,4.554899074409227e-6
1.3552718109231487,1.3552718109231486e-6,4.6238701515803435e-6
1.3621559926622073,1.3621559926622073e-6,4.693889701740123e-6
1.3690751430015382,1.369075143001538e-6,4.76497372644568e-6
1.3760294395661736,1.3760294395661735e-6,4.8371384724320355e-6
1.383019060883403,1.3830190608834029e-6,4.910400435383481e-6
1.3900441863873552,1.3900441863873552e-6,4.984776363763216e-6
1.3971049964236049,1.3971049964236048e-6,5.05677263606979e-6
1.4042016722538027,1.4042016722538026e-6,5.128090665943932e-6
1.4113343960603286,1.4113343960603286e-6,5.2004176920541275e-6
1.4185033509509686,1.4185033509509685e-6,5.273768034753878e-6
1.4257087209636146,1.4257087209636146e-6,5.348156218285294e-6
1.4329506910709902,1.43295069107099e-6,5.423596973691145e-6
1.4402294471853987,1.4402294471853986e-6,5.4987372161988764e-6
1.4475451761634954,1.4475451761634955e-6,5.571401366481559e-6
1.4548980658110853,1.4548980658110852e-6,5.645027961129243e-6
1.4622883048879434,1.4622883048879433e-6,5.719629777352576e-6
1.469716083112661,1.469716083112661e-6,5.795219762383635e-6
1.4771815911675161,1.477181591167516e-6,5.871811035743555e-6
1.4846850207033684,1.4846850207033684e-6,5.949416891540503e-6
1.4922265643445793,1.4922265643445792e-6,6.028050800798354e-6
1.499806415693957,1.4998064156939568e-6,6.10772641381651e-6
1.5074247693377256,1.5074247693377255e-6,6.228471649483109e-6
1.515081820850522,1.515081820850522e-6,6.345305638298271e-6
1.5227777668004154,1.5227777668004153e-6,6.4611120360529284e-6
1.5305128047539542,1.5305128047539543e-6,6.57916816470384e-6
1.5382871332812373,1.5382871332812374e-6,6.699519867422824e-6
1.5461009519610123,1.546100951961012e-6,6.82221395308303e-6
1.5539544613857978,1.5539544613857978e-6,6.947298217045455e-6
1.5618478631670345,1.5618478631670344e-6,7.074821462398894e-6
1.56978135994026,1.5697813599402597e-6,7.2048335216633335e-6
1.5777551553703104,1.5777551553703103e-6,7.337385278966952e-6
1.58576945415655,1.5857694541565498e-6,7.470670977186576e-6
1.5938244620381241,1.593824462038124e-6,7.590930597117964e-6
1.6019203857992435,1.6019203857992434e-6,7.713214694410068e-6
1.6100574332744897,1.6100574332744896e-6,7.837558594493892e-6
1.6182358133541537,1.6182358133541536e-6,7.96399825592854e-6
1.6264557359895953,1.6264557359895952e-6,8.092570281965424e-6
1.6347174121986356,1.6347174121986356e-6,8.223311932326515e-6
1.6430210540709722,1.6430210540709722e-6,8.356261135200507e-6
1.6513668747736252,1.6513668747736251e-6,8.491456499461027e-6
1.659755088556408,1.659755088556408e-6,8.628937327110964e-6
1.6681859107574297,1.6681859107574297e-6,8.768743625957267e-6
1.6766595578086205,1.6766595578086205e-6,8.910916122520328e-6
1.6851762472412901,1.6851762472412901e-6,9.04742673481566e-6
1.6937361976917107,1.6937361976917107e-6,9.206617882749934e-6
1.70233962890673,1.70233962890673e-6,9.377757696972818e-6
1.7109867617494126,1.7109867617494126e-6,9.55239327701264e-6
1.71967781820471,1.71967781820471e-6,9.730600424428546e-6
1.7284130213851592,1.7284130213851592e-6,9.91245664036147e-6
1.7371925955366099,1.7371925955366098e-6,0.000010098041164311237
1.746016766043982,1.746016766043982e-6,0.000010287435013806191
1.754885759437051,1.754885759437051e-6,0.000010476571126594845
1.7637998033962639,1.7637998033962638e-6,0.00001065488492879089
1.7727591267585825,1.7727591267585823e-6,0.00001083647324349566
1.7817639595233605,1.7817639595233605e-6,0.00001102139931777117
1.7908145328582463,1.7908145328582462e-6,0.000011209727657825883
1.7999110791051176,1.7999110791051176e-6,0.000011401524054512165
1.8090538317860463,1.8090538317860462e-6,0.000011596855609345061
1.8182430256092934,1.8182430256092934e-6,0.000011780514485068625
1.827478896475333,1.8274788964753328e-6,0.000011964166835264507
1.836761681482911,1.836761681482911e-6,0.000012150861743807831
1.846091618935129,1.846091618935129e-6,0.00001234065179855505
1.8554689483455635,1.8554689483455635e-6,0.000012533590521253145
1.8648939104444135,1.8648939104444135e-6,0.000012729732384397887
1.874366747184682,1.874366747184682e-6,0.000012929132828399295
1.8838877017483857,1.8838877017483856e-6,0.000013131848279060032
1.8934570185527981,1.893457018552798e-6,0.000013337936165372448
1.903074943256725,1.903074943256725e-6,0.000013569732867918087
1.9127417227668102,1.9127417227668103e-6,0.000013820108193304935
1.922457605243874,1.922457605243874e-6,0.000014075610579744249
1.932222840109284,1.932222840109284e-6,0.000014336351151162943
