# polypus-physics depth-dose experiment — numerical results
# beam: monoenergetic 100 keV photon pencil beam along +z from (0,0,0)
# medium: water (rho = 1000.0 kg/m^3)
# beam_energy_mev: 0.100000
# n_primaries: 20000
# seed: 2026
# geometry_box_min_cm: [-5.000, -5.000, 0.000]
# geometry_box_max_cm: [5.000, 5.000, 10.000]
# voxel_size_cm: 1.000
# dims_nx_ny_nz: [10, 10, 10]
# mu_100kev_water_per_m: 16.6780
# total_deposit_in_grid_mev: 463.684314
# overflow_mev: 0.000000
# note: dose_gy is absolute for n_primaries; dose_gy_per_primary = dose_gy / n_primaries
# note: local deposition is valid at 100 keV (e- range < 0.2 mm << 1 cm voxel)
ix,iy,iz,x_center_cm,y_center_cm,z_center_cm,energy_mev,dose_gy,dose_gy_per_primary
0,0,0,-4.500,-4.500,0.500,2.339204e-2,3.747818e-12,1.873909e-16
1,0,0,-3.500,-4.500,0.500,3.366532e-2,5.393780e-12,2.696890e-16
2,0,0,-2.500,-4.500,0.500,4.682278e-2,7.501836e-12,3.750918e-16
3,0,0,-1.500,-4.500,0.500,1.673072e-1,2.680558e-11,1.340279e-15
4,0,0,-0.500,-4.500,0.500,7.368951e-2,1.180636e-11,5.903180e-16
5,0,0,0.500,-4.500,0.500,1.979105e-1,3.170876e-11,1.585438e-15
6,0,0,1.500,-4.500,0.500,6.129748e-2,9.820939e-12,4.910470e-16
7,0,0,2.500,-4.500,0.500,6.229097e-2,9.980114e-12,4.990057e-16
8,0,0,3.500,-4.500,0.500,7.734176e-3,1.239152e-12,6.195758e-17
9,0,0,4.500,-4.500,0.500,2.975198e-2,4.766792e-12,2.383396e-16
0,1,0,-4.500,-3.500,0.500,5.310663e-2,8.508620e-12,4.254310e-16
1,1,0,-3.500,-3.500,0.500,4.966370e-2,7.957003e-12,3.978501e-16
2,1,0,-2.500,-3.500,0.500,6.109864e-2,9.789082e-12,4.894541e-16
3,1,0,-1.500,-3.500,0.500,9.618143e-2,1.540996e-11,7.704982e-16
4,1,0,-0.500,-3.500,0.500,1.958393e-1,3.137691e-11,1.568846e-15
5,1,0,0.500,-3.500,0.500,1.377312e-1,2.206697e-11,1.103348e-15
6,1,0,1.500,-3.500,0.500,6.855650e-2,1.098396e-11,5.491981e-16
7,1,0,2.500,-3.500,0.500,7.820971e-2,1.253058e-11,6.265289e-16
8,1,0,3.500,-3.500,0.500,1.350158e-1,2.163191e-11,1.081595e-15
9,1,0,4.500,-3.500,0.500,2.041375e-2,3.270644e-12,1.635322e-16
0,2,0,-4.500,-2.500,0.500,7.040878e-2,1.128073e-11,5.640365e-16
1,2,0,-3.500,-2.500,0.500,4.788296e-2,7.671696e-12,3.835848e-16
2,2,0,-2.500,-2.500,0.500,1.645006e-1,2.635591e-11,1.317795e-15
3,2,0,-1.500,-2.500,0.500,1.173567e-1,1.880261e-11,9.401307e-16
4,2,0,-0.500,-2.500,0.500,2.943316e-1,4.715712e-11,2.357856e-15
5,2,0,0.500,-2.500,0.500,3.880494e-1,6.217237e-11,3.108619e-15
6,2,0,1.500,-2.500,0.500,1.686980e-1,2.702841e-11,1.351420e-15
7,2,0,2.500,-2.500,0.500,2.343321e-1,3.754414e-11,1.877207e-15
8,2,0,3.500,-2.500,0.500,1.178026e-1,1.887405e-11,9.437026e-16
9,2,0,4.500,-2.500,0.500,5.516990e-2,8.839193e-12,4.419596e-16
0,3,0,-4.500,-1.500,0.500,1.161092e-1,1.860275e-11,9.301374e-16
1,3,0,-3.500,-1.500,0.500,6.336394e-2,1.015202e-11,5.076011e-16
2,3,0,-2.500,-1.500,0.500,7.982845e-2,1.278993e-11,6.394964e-16
3,3,0,-1.500,-1.500,0.500,3.782567e-1,6.060341e-11,3.030171e-15
4,3,0,-0.500,-1.500,0.500,4.946322e-1,7.924881e-11,3.962441e-15
5,3,0,0.500,-1.500,0.500,3.945538e-1,6.321448e-11,3.160724e-15
6,3,0,1.500,-1.500,0.500,1.502321e-1,2.406983e-11,1.203492e-15
7,3,0,2.500,-1.500,0.500,1.694446e-1,2.714802e-11,1.357401e-15
8,3,0,3.500,-1.500,0.500,5.389144e-2,8.634361e-12,4.317180e-16
9,3,0,4.500,-1.500,0.500,8.913912e-3,1.428166e-12,7.140830e-17
0,4,0,-4.500,-0.500,0.500,1.065497e-1,1.707114e-11,8.535569e-16
1,4,0,-3.500,-0.500,0.500,1.900937e-1,3.045636e-11,1.522818e-15
2,4,0,-2.500,-0.500,0.500,1.445724e-1,2.316305e-11,1.158152e-15
3,4,0,-1.500,-0.500,0.500,3.443662e-1,5.517355e-11,2.758678e-15
4,4,0,-0.500,-0.500,0.500,1.802663e0,2.888184e-10,1.444092e-14
5,4,0,0.500,-0.500,0.500,1.741508e0,2.790203e-10,1.395101e-14
6,4,0,1.500,-0.500,0.500,5.066413e-1,8.117289e-11,4.058644e-15
7,4,0,2.500,-0.500,0.500,2.648362e-1,4.243144e-11,2.121572e-15
8,4,0,3.500,-0.500,0.500,1.566242e-1,2.509397e-11,1.254698e-15
9,4,0,4.500,-0.500,0.500,5.365933e-2,8.597172e-12,4.298586e-16
0,5,0,-4.500,0.500,0.500,3.930708e-2,6.297688e-12,3.148844e-16
1,5,0,-3.500,0.500,0.500,1.526655e-1,2.445971e-11,1.222985e-15
2,5,0,-2.500,0.500,0.500,2.191362e-1,3.510949e-11,1.755474e-15
3,5,0,-1.500,0.500,0.500,5.589792e-1,8.955833e-11,4.477917e-15
4,5,0,-0.500,0.500,0.500,1.806612e0,2.894512e-10,1.447256e-14
5,5,0,0.500,0.500,0.500,4.755685e1,7.619447e-9,3.809724e-13
6,5,0,1.500,0.500,0.500,4.522812e-1,7.246343e-11,3.623172e-15
7,5,0,2.500,0.500,0.500,2.370638e-1,3.798180e-11,1.899090e-15
8,5,0,3.500,0.500,0.500,1.935807e-1,3.101505e-11,1.550752e-15
9,5,0,4.500,0.500,0.500,1.242962e-1,1.991445e-11,9.957224e-16
0,6,0,-4.500,1.500,0.500,1.416288e-1,2.269144e-11,1.134572e-15
1,6,0,-3.500,1.500,0.500,1.040123e-1,1.666461e-11,8.332305e-16
2,6,0,-2.500,1.500,0.500,5.254109e-2,8.418011e-12,4.209005e-16
3,6,0,-1.500,1.500,0.500,3.468843e-1,5.557700e-11,2.778850e-15
4,6,0,-0.500,1.500,0.500,3.602636e-1,5.772060e-11,2.886030e-15
5,6,0,0.500,1.500,0.500,3.266674e-1,5.233789e-11,2.616895e-15
6,6,0,1.500,1.500,0.500,2.778292e-1,4.451315e-11,2.225658e-15
7,6,0,2.500,1.500,0.500,9.765945e-2,1.564677e-11,7.823384e-16
8,6,0,3.500,1.500,0.500,7.109328e-2,1.139040e-11,5.695200e-16
9,6,0,4.500,1.500,0.500,5.516991e-2,8.839194e-12,4.419597e-16
0,7,0,-4.500,2.500,0.500,9.292590e-2,1.488837e-11,7.444186e-16
1,7,0,-3.500,2.500,0.500,7.881935e-2,1.262825e-11,6.314126e-16
2,7,0,-2.500,2.500,0.500,1.021937e-1,1.637324e-11,8.186618e-16
3,7,0,-1.500,2.500,0.500,1.710697e-1,2.740839e-11,1.370419e-15
4,7,0,-0.500,2.500,0.500,1.744769e-1,2.795429e-11,1.397714e-15
5,7,0,0.500,2.500,0.500,2.847226e-1,4.561759e-11,2.280879e-15
6,7,0,1.500,2.500,0.500,2.789247e-1,4.468867e-11,2.234434e-15
7,7,0,2.500,2.500,0.500,9.874008e-2,1.581991e-11,7.909953e-16
8,7,0,3.500,2.500,0.500,1.473821e-1,2.361322e-11,1.180661e-15
9,7,0,4.500,2.500,0.500,6.577688e-2,1.053862e-11,5.269309e-16
0,8,0,-4.500,3.500,0.500,1.559426e-3,2.498476e-13,1.249238e-17
1,8,0,-3.500,3.500,0.500,5.259393e-2,8.426477e-12,4.213238e-16
2,8,0,-2.500,3.500,0.500,6.805171e-2,1.090309e-11,5.451543e-16
3,8,0,-1.500,3.500,0.500,9.581704e-2,1.535158e-11,7.675791e-16
4,8,0,-0.500,3.500,0.500,1.410249e-1,2.259468e-11,1.129734e-15
5,8,0,0.500,3.500,0.500,6.142040e-2,9.840633e-12,4.920316e-16
6,8,0,1.500,3.500,0.500,1.218650e-1,1.952492e-11,9.762462e-16
7,8,0,2.500,3.500,0.500,3.378420e-2,5.412825e-12,2.706412e-16
8,8,0,3.500,3.500,0.500,4.222332e-2,6.764922e-12,3.382461e-16
9,8,0,4.500,3.500,0.500,1.153880e-1,1.848720e-11,9.243598e-16
0,9,0,-4.500,4.500,0.500,2.307119e-2,3.696412e-12,1.848206e-16
1,9,0,-3.500,4.500,0.500,4.276173e-2,6.851185e-12,3.425593e-16
2,9,0,-2.500,4.500,0.500,3.932425e-2,6.300440e-12,3.150220e-16
3,9,0,-1.500,4.500,0.500,1.393904e-1,2.233281e-11,1.116641e-15
4,9,0,-0.500,4.500,0.500,5.721822e-2,9.167370e-12,4.583685e-16
5,9,0,0.500,4.500,0.500,1.552376e-2,2.487181e-12,1.243590e-16
6,9,0,1.500,4.500,0.500,2.143913e-2,3.434927e-12,1.717463e-16
7,9,0,2.500,4.500,0.500,4.688864e-2,7.512388e-12,3.756194e-16
8,9,0,3.500,4.500,0.500,6.357829e-2,1.018637e-11,5.093183e-16
9,9,0,4.500,4.500,0.500,1.544483e-2,2.474535e-12,1.237267e-16
0,0,1,-4.500,-4.500,1.500,2.927510e-2,4.690389e-12,2.345194e-16
1,0,1,-3.500,-4.500,1.500,4.984549e-2,7.986128e-12,3.993064e-16
2,0,1,-2.500,-4.500,1.500,9.277229e-2,1.486376e-11,7.431880e-16
3,0,1,-1.500,-4.500,1.500,5.348012e-2,8.568460e-12,4.284230e-16
4,0,1,-0.500,-4.500,1.500,1.562875e-1,2.504002e-11,1.252001e-15
5,0,1,0.500,-4.500,1.500,7.737237e-2,1.239642e-11,6.198211e-16
6,0,1,1.500,-4.500,1.500,5.684413e-2,9.107434e-12,4.553717e-16
7,0,1,2.500,-4.500,1.500,1.579131e-1,2.530047e-11,1.265023e-15
8,0,1,3.500,-4.500,1.500,5.585023e-2,8.948194e-12,4.474097e-16
9,0,1,4.500,-4.500,1.500,0.000000e0,0.000000e0,0.000000e0
0,1,1,-4.500,-3.500,1.500,1.485468e-2,2.379983e-12,1.189991e-16
1,1,1,-3.500,-3.500,1.500,3.371970e-2,5.402491e-12,2.701245e-16
2,1,1,-2.500,-3.500,1.500,4.793957e-2,7.680765e-12,3.840383e-16
3,1,1,-1.500,-3.500,1.500,8.897874e-2,1.425597e-11,7.127983e-16
4,1,1,-0.500,-3.500,1.500,1.650805e-1,2.644881e-11,1.322440e-15
5,1,1,0.500,-3.500,1.500,6.737776e-2,1.079511e-11,5.397554e-16
6,1,1,1.500,-3.500,1.500,9.169558e-2,1.469125e-11,7.345626e-16
7,1,1,2.500,-3.500,1.500,1.137954e-1,1.823203e-11,9.116014e-16
8,1,1,3.500,-3.500,1.500,1.686306e-1,2.701759e-11,1.350880e-15
9,1,1,4.500,-3.500,1.500,9.991050e-2,1.600743e-11,8.003713e-16
0,2,1,-4.500,-2.500,1.500,4.131252e-2,6.618995e-12,3.309497e-16
1,2,1,-3.500,-2.500,1.500,1.546990e-1,2.478551e-11,1.239276e-15
2,2,1,-2.500,-2.500,1.500,1.269064e-1,2.033265e-11,1.016633e-15
3,2,1,-1.500,-2.500,1.500,1.770010e-1,2.835868e-11,1.417934e-15
4,2,1,-0.500,-2.500,1.500,1.762977e-1,2.824600e-11,1.412300e-15
5,2,1,0.500,-2.500,1.500,2.697237e-1,4.321451e-11,2.160725e-15
6,2,1,1.500,-2.500,1.500,2.056861e-1,3.295455e-11,1.647727e-15
7,2,1,2.500,-2.500,1.500,1.326805e-1,2.125776e-11,1.062888e-15
8,2,1,3.500,-2.500,1.500,1.403889e-1,2.249279e-11,1.124639e-15
9,2,1,4.500,-2.500,1.500,1.613071e-1,2.584424e-11,1.292212e-15
0,3,1,-4.500,-1.500,1.500,1.253700e-1,2.008648e-11,1.004324e-15
1,3,1,-3.500,-1.500,1.500,9.503873e-2,1.522688e-11,7.613442e-16
2,3,1,-2.500,-1.500,1.500,3.050323e-1,4.887156e-11,2.443578e-15
3,3,1,-1.500,-1.500,1.500,3.552945e-1,5.692446e-11,2.846223e-15
4,3,1,-0.500,-1.500,1.500,7.294937e-1,1.168778e-10,5.843889e-15
5,3,1,0.500,-1.500,1.500,4.171858e-1,6.684054e-11,3.342027e-15
6,3,1,1.500,-1.500,1.500,4.591338e-1,7.356134e-11,3.678067e-15
7,3,1,2.500,-1.500,1.500,1.745840e-1,2.797145e-11,1.398572e-15
8,3,1,3.500,-1.500,1.500,9.390450e-2,1.504516e-11,7.522580e-16
9,3,1,4.500,-1.500,1.500,6.093707e-2,9.763195e-12,4.881597e-16
0,4,1,-4.500,-0.500,1.500,9.134070e-2,1.463439e-11,7.317197e-16
1,4,1,-3.500,-0.500,1.500,1.199114e-1,1.921192e-11,9.605962e-16
2,4,1,-2.500,-0.500,1.500,2.414550e-1,3.868535e-11,1.934268e-15
3,4,1,-1.500,-0.500,1.500,6.806541e-1,1.090528e-10,5.452640e-15
4,4,1,-0.500,-0.500,1.500,2.254510e0,3.612124e-10,1.806062e-14
5,4,1,0.500,-0.500,1.500,1.895364e0,3.036707e-10,1.518354e-14
6,4,1,1.500,-0.500,1.500,7.192960e-1,1.152439e-10,5.762196e-15
7,4,1,2.500,-0.500,1.500,2.363433e-1,3.786637e-11,1.893318e-15
8,4,1,3.500,-0.500,1.500,6.465078e-2,1.035820e-11,5.179099e-16
9,4,1,4.500,-0.500,1.500,7.472478e-2,1.197223e-11,5.986115e-16
0,5,1,-4.500,0.500,1.500,7.273295e-2,1.165310e-11,5.826552e-16
1,5,1,-3.500,0.500,1.500,2.205267e-1,3.533228e-11,1.766614e-15
2,5,1,-2.500,0.500,1.500,2.002086e-1,3.207695e-11,1.603848e-15
3,5,1,-1.500,0.500,1.500,6.474630e-1,1.037350e-10,5.186750e-15
4,5,1,-0.500,0.500,1.500,2.082521e0,3.336566e-10,1.668283e-14
5,5,1,0.500,0.500,1.500,3.984475e1,6.383832e-9,3.191916e-13
6,5,1,1.500,0.500,1.500,4.586618e-1,7.348573e-11,3.674286e-15
7,5,1,2.500,0.500,1.500,1.966829e-1,3.151207e-11,1.575603e-15
8,5,1,3.500,0.500,1.500,1.120367e-1,1.795026e-11,8.975128e-16
9,5,1,4.500,0.500,1.500,1.387078e-1,2.222343e-11,1.111172e-15
0,6,1,-4.500,1.500,1.500,8.502204e-2,1.362203e-11,6.811016e-16
1,6,1,-3.500,1.500,1.500,1.602743e-1,2.567877e-11,1.283939e-15
2,6,1,-2.500,1.500,1.500,4.164353e-1,6.672029e-11,3.336015e-15
3,6,1,-1.500,1.500,1.500,5.754016e-1,9.218950e-11,4.609475e-15
4,6,1,-0.500,1.500,1.500,5.670479e-1,9.085109e-11,4.542554e-15
5,6,1,0.500,1.500,1.500,4.370118e-1,7.001700e-11,3.500850e-15
6,6,1,1.500,1.500,1.500,2.325579e-1,3.725989e-11,1.862994e-15
7,6,1,2.500,1.500,1.500,8.555139e-2,1.370684e-11,6.853422e-16
8,6,1,3.500,1.500,1.500,1.747759e-1,2.800219e-11,1.400109e-15
9,6,1,4.500,1.500,1.500,4.502861e-2,7.214378e-12,3.607189e-16
0,7,1,-4.500,2.500,1.500,5.760912e-2,9.229998e-12,4.614999e-16
1,7,1,-3.500,2.500,1.500,2.366785e-2,3.792008e-12,1.896004e-16
2,7,1,-2.500,2.500,1.500,3.317818e-1,5.315731e-11,2.657865e-15
3,7,1,-1.500,2.500,1.500,3.847402e-1,6.164218e-11,3.082109e-15
4,7,1,-0.500,2.500,1.500,4.827252e-1,7.734110e-11,3.867055e-15
5,7,1,0.500,2.500,1.500,3.342957e-1,5.356008e-11,2.678004e-15
6,7,1,1.500,2.500,1.500,2.669825e-1,4.277532e-11,2.138766e-15
7,7,1,2.500,2.500,1.500,2.554032e-1,4.092011e-11,2.046006e-15
8,7,1,3.500,2.500,1.500,1.313447e-1,2.104374e-11,1.052187e-15
9,7,1,4.500,2.500,1.500,2.783135e-2,4.459074e-12,2.229537e-16
0,8,1,-4.500,3.500,1.500,5.053493e-2,8.096589e-12,4.048294e-16
1,8,1,-3.500,3.500,1.500,5.954324e-2,9.539878e-12,4.769939e-16
2,8,1,-2.500,3.500,1.500,9.405151e-2,1.506871e-11,7.534356e-16
3,8,1,-1.500,3.500,1.500,1.130962e-1,1.812002e-11,9.060008e-16
4,8,1,-0.500,3.500,1.500,9.580011e-2,1.534887e-11,7.674435e-16
5,8,1,0.500,3.500,1.500,1.339189e-1,2.145617e-11,1.072808e-15
6,8,1,1.500,3.500,1.500,7.541314e-2,1.208252e-11,6.041259e-16
7,8,1,2.500,3.500,1.500,1.372103e-1,2.198351e-11,1.099176e-15
8,8,1,3.500,3.500,1.500,7.745961e-2,1.241040e-11,6.205199e-16
9,8,1,4.500,3.500,1.500,4.286214e-2,6.867272e-12,3.433636e-16
0,9,1,-4.500,4.500,1.500,9.211942e-2,1.475916e-11,7.379579e-16
1,9,1,-3.500,4.500,1.500,5.705047e-2,9.140492e-12,4.570246e-16
2,9,1,-2.500,4.500,1.500,6.736659e-2,1.079332e-11,5.396659e-16
3,9,1,-1.500,4.500,1.500,2.618337e-2,4.195038e-12,2.097519e-16
4,9,1,-0.500,4.500,1.500,6.885815e-2,1.103229e-11,5.516146e-16
5,9,1,0.500,4.500,1.500,1.205386e-1,1.931241e-11,9.656204e-16
6,9,1,1.500,4.500,1.500,1.660597e-2,2.660570e-12,1.330285e-16
7,9,1,2.500,4.500,1.500,1.312307e-1,2.102548e-11,1.051274e-15
8,9,1,3.500,4.500,1.500,2.126822e-2,3.407545e-12,1.703772e-16
9,9,1,4.500,4.500,1.500,2.222552e-2,3.560921e-12,1.780461e-16
0,0,2,-4.500,-4.500,2.500,1.063648e-1,1.704152e-11,8.520760e-16
1,0,2,-3.500,-4.500,2.500,1.059364e-1,1.697288e-11,8.486440e-16
2,0,2,-2.500,-4.500,2.500,6.747486e-2,1.081066e-11,5.405332e-16
3,0,2,-1.500,-4.500,2.500,1.015068e-1,1.626318e-11,8.131589e-16
4,0,2,-0.500,-4.500,2.500,1.197493e-1,1.918596e-11,9.592979e-16
5,0,2,0.500,-4.500,2.500,8.806629e-2,1.410978e-11,7.054888e-16
6,0,2,1.500,-4.500,2.500,3.937655e-2,6.308818e-12,3.154409e-16
7,0,2,2.500,-4.500,2.500,1.190041e-1,1.906657e-11,9.533283e-16
8,0,2,3.500,-4.500,2.500,7.446173e-2,1.193008e-11,5.965042e-16
9,0,2,4.500,-4.500,2.500,7.333087e-3,1.174890e-12,5.874450e-17
0,1,2,-4.500,-3.500,2.500,3.123661e-2,5.004657e-12,2.502328e-16
1,1,2,-3.500,-3.500,2.500,5.452033e-2,8.735120e-12,4.367560e-16
2,1,2,-2.500,-3.500,2.500,1.459092e-1,2.337723e-11,1.168861e-15
3,1,2,-1.500,-3.500,2.500,1.584631e-1,2.538858e-11,1.269429e-15
4,1,2,-0.500,-3.500,2.500,1.379853e-1,2.210768e-11,1.105384e-15
5,1,2,0.500,-3.500,2.500,1.912797e-1,3.064638e-11,1.532319e-15
6,1,2,1.500,-3.500,2.500,1.188408e-1,1.904040e-11,9.520199e-16
7,1,2,2.500,-3.500,2.500,1.294126e-1,2.073419e-11,1.036709e-15
8,1,2,3.500,-3.500,2.500,4.997080e-2,8.006205e-12,4.003102e-16
9,1,2,4.500,-3.500,2.500,6.471598e-2,1.036864e-11,5.184321e-16
0,2,2,-4.500,-2.500,2.500,2.919185e-2,4.677051e-12,2.338525e-16
1,2,2,-3.500,-2.500,2.500,1.502494e-1,2.407261e-11,1.203631e-15
2,2,2,-2.500,-2.500,2.500,1.914174e-1,3.066844e-11,1.533422e-15
3,2,2,-1.500,-2.500,2.500,2.057900e-1,3.297119e-11,1.648559e-15
4,2,2,-0.500,-2.500,2.500,2.428644e-1,3.891116e-11,1.945558e-15
5,2,2,0.500,-2.500,2.500,3.513465e-1,5.629192e-11,2.814596e-15
6,2,2,1.500,-2.500,2.500,1.427516e-1,2.287133e-11,1.143567e-15
7,2,2,2.500,-2.500,2.500,5.810693e-2,9.309756e-12,4.654878e-16
8,2,2,3.500,-2.500,2.500,5.433365e-2,8.705211e-12,4.352606e-16
9,2,2,4.500,-2.500,2.500,6.677400e-2,1.069837e-11,5.349187e-16
0,3,2,-4.500,-1.500,2.500,1.644383e-1,2.634592e-11,1.317296e-15
1,3,2,-3.500,-1.500,2.500,4.415509e-2,7.074426e-12,3.537213e-16
2,3,2,-2.500,-1.500,2.500,1.382132e-1,2.214419e-11,1.107209e-15
3,3,2,-1.500,-1.500,2.500,3.384209e-1,5.422101e-11,2.711051e-15
4,3,2,-0.500,-1.500,2.500,5.173033e-1,8.288113e-11,4.144056e-15
5,3,2,0.500,-1.500,2.500,7.381949e-1,1.182719e-10,5.913593e-15
6,3,2,1.500,-1.500,2.500,4.454912e-1,7.137555e-11,3.568778e-15
7,3,2,2.500,-1.500,2.500,2.016916e-1,3.231456e-11,1.615728e-15
8,3,2,3.500,-1.500,2.500,9.855930e-2,1.579094e-11,7.895470e-16
9,3,2,4.500,-1.500,2.500,8.647905e-2,1.385547e-11,6.927736e-16
