schema_version,timestamp,git_commit,polypus_version,n_qubits,method,optimizer,infrastructure,backend,seed,base_seed,repeat_index,graph_seed,graph_prob,n_edges,layers,dimensions,population_size,max_generations,layers_factor,population_factor,generations_factor,tolerance,scipy_workers,qng_learning_rate,qng_step,qng_tikhonov,n_shots,n_qpus,nodes,cores_per_qpu,best_solution_bruteforce,best_cut,best_bitstring,approximation_ratio,best_ratio,best_fitness,iterations_run,converged,time_seconds
2,2026-07-15T07:51:28Z,0ffd244,0.6.0,4,scipy,scipy_DE,local,aer,42,42,0,7,0.6,5,4,8,32,20,2,4,5,1e-05,1,,,,4000,1,1,1,4,4,1001,0.9523125,1.0,3.80925,20,False,1.844660758972168
2,2026-07-15T07:51:30Z,0ffd244,0.6.0,4,scipy,scipy_DE,local,aer,43,42,1,7,0.6,5,4,8,32,20,2,4,5,1e-05,1,,,,4000,1,1,1,4,4,0110,0.90875,1.0,3.635,20,False,1.8523509502410889
2,2026-07-15T07:51:32Z,0ffd244,0.6.0,4,scipy,scipy_DE,local,aer,44,42,2,7,0.6,5,4,8,32,20,2,4,5,1e-05,1,,,,4000,1,1,1,4,4,0110,0.9643125,1.0,3.85725,20,False,1.8263683319091797
2,2026-07-15T07:51:34Z,0ffd244,0.6.0,4,polypus_local,DE,local,aer,42,42,0,7,0.6,5,4,8,32,20,2,4,5,1e-05,,,,,4000,1,1,1,4,4,1001,0.9424375,1.0,3.75425,20,False,1.0382592678070068
2,2026-07-15T07:51:35Z,0ffd244,0.6.0,4,polypus_local,DE,local,aer,43,42,1,7,0.6,5,4,8,32,20,2,4,5,1e-05,,,,,4000,1,1,1,4,4,0110,0.9031875,1.0,3.63225,20,False,1.048253059387207
2,2026-07-15T07:51:37Z,0ffd244,0.6.0,4,polypus_local,DE,local,aer,44,42,2,7,0.6,5,4,8,32,20,2,4,5,1e-05,,,,,4000,1,1,1,4,4,0110,0.913,1.0,3.62575,20,False,1.0114963054656982
2,2026-07-15T07:51:38Z,0ffd244,0.6.0,4,polypus_local_pso,PSO,local,aer,42,42,0,7,0.6,5,4,8,32,20,2,4,5,1e-05,,,,,4000,1,1,1,4,4,1001,0.9968125,1.0,3.9925,20,False,0.9483444690704346
2,2026-07-15T07:51:39Z,0ffd244,0.6.0,4,polypus_local_pso,PSO,local,aer,43,42,1,7,0.6,5,4,8,32,20,2,4,5,1e-05,,,,,4000,1,1,1,4,4,0110,0.9708125,1.0,3.894,20,False,0.9445695877075195
2,2026-07-15T07:51:41Z,0ffd244,0.6.0,4,polypus_local_pso,PSO,local,aer,44,42,2,7,0.6,5,4,8,32,20,2,4,5,1e-05,,,,,4000,1,1,1,4,4,1001,0.9583125,1.0,3.84075,20,False,0.9651930332183838
2,2026-07-15T07:51:42Z,0ffd244,0.6.0,4,polypus_local_qng,QNG,local,aer,42,42,0,7,0.6,5,4,8,32,20,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,4,4,1001,0.93325,1.0,3.733,20,False,1.1961002349853516
2,2026-07-15T07:51:44Z,0ffd244,0.6.0,4,polypus_local_qng,QNG,local,aer,43,42,1,7,0.6,5,4,8,32,20,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,4,4,0110,0.779875,1.0,3.1195,20,False,1.114957571029663
2,2026-07-15T07:51:45Z,0ffd244,0.6.0,4,polypus_local_qng,QNG,local,aer,44,42,2,7,0.6,5,4,8,32,20,2,4,5,,,0.1,0.1,0.05,4000,1,1,1,4,4,1001,0.9324375,1.0,3.72975,20,False,1.079866886138916
2,2026-07-15T07:51:48Z,0ffd244,0.6.0,5,scipy,scipy_DE,local,aer,42,42,0,7,0.6,9,4,8,32,25,2,4,5,1e-05,1,,,,4000,1,1,1,6,6,10110,0.9595833333333333,1.0,5.7575,25,False,3.1068193912506104
